	nse	cobertura_salud	alcance_cobertura_salud	fuente_ingresos	prestaciones_estatales	origen_ingreso_principal	solicitud_ayuda_pandemia	atencion_salud_dificultades_pre_pandemia	atencion_salud_dificultades_pre_pandemia_detalle	covid_positivo_dificultades	atencion_salud_acceso_informacion_origen	informacion_medidas_educativas_origen
364	Alto	Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis	Trabajo	Ninguna de las anteriores	Empresa o negocio propio	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de redes sociales, A través de los propios servicios de salud	A través de los docentes o directivos de las instituciones educativas
365	Medio Bajo	No tiene cobertura	NA	Trabajo, Programa estatal, Ayuda social o familiar	Asignación Universal por Hijo	Trabajo informal (en negro)	Ayuda de familiares o amigos	Tiempo de espera excesivos para acceder a la consulta, No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas
366	Medio alto	No tiene cobertura	NA	Trabajo	Ninguna de las anteriores	Trabajo informal (en negro)	Ninguno	No conocer dónde recurrir cuando necesita atención médica, Tiempo de espera excesivos para acceder a la consulta	NA	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas
367	Medio alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo informal (en negro)	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	A través de los docentes o directivos de las instituciones educativas
368	Medio Bajo	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	NA
369	Bajo	No tiene cobertura	NA	Trabajo	Asignación Universal por Hijo	Eventual (por changas)	Comedor o merendero barrial, Ayuda de familiares o amigos, En la escuela, Otro	Sentirse discriminado a la hora de solicitar atención, Dificultades económicas para afrontar los gastos en salud., Dificultades para entender el diagnóstico realizado por los médicos, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de los propios servicios de salud, A través de familiares/amigos/vecinos	A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
370	Medio Bajo	PAMI	Atención médica básica, Estudios complementarios y análisis, Ns / Nc	Jubilación / Pensión, Programa estatal	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	NA
371	Medio Bajo	No tiene cobertura	NA	Trabajo	Ninguna de las anteriores	Trabajo informal (en negro)	Ninguno	Tiempo de espera excesivos para acceder a la consulta, No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas
372	Bajo	No tiene cobertura	NA	Trabajo	Asignación Universal por Hijo	Eventual (por changas)	Apoyo escolar, En la escuela	Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de información provista por el Estado en conferencias de prensa	A través de los docentes o directivos de las instituciones educativas
373	Bajo	PAMI	Ns / Nc	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No conocer cómo solicitar turnos, Sentirse discriminado a la hora de solicitar atención, Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud., Dificultades para que los médicos /as entiendan sus dolencias, Dificultades para entender el diagnóstico realizado por los médicos, Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	NA	NA
374	Medio Bajo	No tiene cobertura	NA	Trabajo	Ninguna de las anteriores	Empresa o negocio propio	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios)	A través de los docentes o directivos de las instituciones educativas
375	Medio Bajo	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	NA
376	Medio Bajo	PAMI, No tiene cobertura	NA	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de información provista por el Estado en conferencias de prensa	NA
377	Bajo	No tiene cobertura	NA	Trabajo	Asignación Universal por Hijo	Eventual (por changas)	Comedor o merendero barrial, Ayuda de familiares o amigos, En la escuela	Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas, Posponer intervenciones quirúrgicas, Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos, A través de información provista por las autoridades del Estado en conferencias de prensa
378	Medio Bajo	Prepaga por pago voluntario	Ns / Nc	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	NA
379	Bajo	No tiene cobertura	NA	Trabajo	Asignación Universal por Hijo	Trabajo informal (en negro)	Comedor o merendero barrial, Otro	Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta, Otras	NA	NA	A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
380	Bajo	No tiene cobertura	NA	Trabajo, Programa estatal, Ayuda social o familiar	Asignación Universal por Hijo	Empresa o negocio propio	Ayuda de familiares o amigos	Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	NA
381	Bajo	Prepaga por pago voluntario	Ns / Nc	Programa estatal, Otra fuente	Asignación Universal por Hijo	Empresa o negocio propio	Ayuda de familiares o amigos	Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas, Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos, A través de información provista por las autoridades del Estado en conferencias de prensa
